id	raw_top1	raw_margin	theme_top1	theme_margin	raw_top1_book	theme_top1_book	title
12196	1.0072	0.0096	1.0246	0.0026	疫後大未來	疫後大未來	Trump administration tightens visa rules for foreign students
12324	0.9406	0.0159	0.9586	0.0052	50 Capitalism Ideas You Really Need to Know	超級專案管理	Burnham's 'Manchesterism' got him to No 10 - but will it work for the UK?
11988	0.9947	0.0075	1.0257	0.0016	布萊森之英文超正典	布萊森之英文超正典	UK says Falkland Islands 'definitely ours' after Argentina banner
11826	0.8896	0.0294	0.9072	0.033	生成式 AI 系統設計面試	生成式 AI 系統設計面試	Meta pulls new AI image feature after days of backlash
11923	0.882	0.0172	0.8998	0.046	攻擊網路協定	Web 開發者安全指南	Teen hackers who live streamed cyber-attack on TfL jailed
12397	0.9682	0.0083	0.9882	0.0003	4％的人毫無良知 我該怎麼辦？	Web 開發者安全指南	Catfished student gets £10k after photos used for fake dating profiles
11991	0.9553	0.0011	0.9698	0.0067	解密陌生人：顛覆識人慣性，看穿表相下的真實人性	解密陌生人：顛覆識人慣性，看穿表相下的真實人性	MI5 court evidence based on lies, report says
12066	0.9945	0.012	1.017	0.0092	工程師職涯成長指南	工程師職涯成長指南	Burnham planning summer tour of UK in early weeks as PM
12328	1.06	0.0003	1.0727	0.0017	地獄是真實的嗎？還是所有人都能上天堂？	哈佛商業評論：職場毒文化應對指南	Australia 'deeply frustrated' over Laos methanol poisoning charges
11931	0.8907	0.0004	0.9224	0.0032	為約會立界線	情緒勒索	'I couldn't leave the house, I worried I'd cheat': The rise of relationship OCD
11800	1.0185	0.0088	1.0268	0.0002	解密陌生人：顛覆識人慣性，看穿表相下的真實人性	解密陌生人：顛覆識人慣性，看穿表相下的真實人性	Families of 43 victims await verdict in Genoa bridge disaster
11999	1.0012	0.039	1.0331	0.0123	卿卿如晤	卿卿如晤	'Good day to drown a few sorrows', says King as he pours pint
11805	0.9933	0.0091	1.0142	0.0052	停損的勝算：世界撲克冠軍教你精準判斷何時放棄，反而贏更多	什麼時候是好時候:掌握人生關鍵時刻的科學祕密	Why England's loss to Argentina felt like most painful in 60 years of hurt
11802	1.0096	0.0061	1.0426	0.0064	架構、網路與儲存考量	演算法與資料結構	Weekend cooldown to mark end of heatwave for some
11814	0.9432	0.0105	0.9669	0.0209	國家為什麼會破產: 橋水基金應對大週期的原則	HBR 經理人財務基礎指南	Cash-strapped Thames Water poses big test for Burnham
12188	1.0077	0.0064	1.0258	0.0122	33 Strategies of War	學會領導	Blasts reported in Iran as US launches new wave of strikes
12056	0.9949	0.0049	1.018	0.0077	軟體架構師的 12 項修煉	工程師職涯成長指南	Sadiq Khan among 26 new peers to enter the Lords
12132	0.9595	0.0073	1.0013	0.006	為什麼要睡覺	為什麼要睡覺	Energy drinks to be banned for under-16s in England from April
11798	0.925	0.0137	0.9519	0.0019	Bigger Leaner Stronger: The Simple Science of Building the Ultimate Male Body	我，沒有極限：解除心智枷鎖，戰勝內在自我	US military to start screening for testosterone deficiency, Hegseth says
11793	1.0103	0.0015	1.0235	0.015	Google Cloud 對照手冊	Google Cloud 對照手冊	Argentina face action over Falklands banner
11794	0.9831	0.0218	1.0187	0.002	50 Capitalism Ideas You Really Need to Know	50 Capitalism Ideas You Really Need to Know	British Steel taken into public ownership to protect 'vital' UK supply
12061	1.0169	0.0063	1.0444	0.0007	4％的人毫無良知 我該怎麼辦？	4％的人毫無良知 我該怎麼辦？	Uncle of Ann Widdecombe suspect says he 'nearly fell to floor' over arrest
11830	0.9366	0.0104	0.9656	0.0022	注意力交易：現代廣告框架與故事行銷策略	注意力交易：現代廣告框架與故事行銷策略	Big tech must deal with scam ads under Ofcom proposals
11836	0.9495	0.0056	0.957	0.0098	AI來了，你還不開始準備嗎？	人生的絕佳建議	Tech Life
11837	0.8886	0.0431	0.8888	0.049	瀏覽器駭客手冊	瀏覽器駭客手冊	Moroccan intelligence insider reveals widespread use of Pegasus hacking software
12325	0.9976	0.0201	1.0297	0.0217	50 Capitalism Ideas You Really Need to Know	50 Capitalism Ideas You Really Need to Know	China hits out at British Steel nationalisation
11849	1.0126	0.0084	1.0414	0.0072	恐懼，是保護你的天賦	Google Cloud 對照手冊	Japan officials hunt bear that raided couple’s fridge amid string of break-ins
11844	1.0124	0.0254	1.0267	0.036	解密陌生人：顛覆識人慣性，看穿表相下的真實人性	解密陌生人：顛覆識人慣性，看穿表相下的真實人性	Mexico asks US state attorneys general to investigate immigrant ICE deaths
11831	0.9319	0.0151	0.9598	0.0029	注意力交易：現代廣告框架與故事行銷策略	注意力交易：現代廣告框架與故事行銷策略	'Cool in 90 seconds' - the fake portable air conditioners sweeping the internet
12460	1.0268	0.0002	1.0372	0.0005	賺錢，更賺自由的FIRE理財族	Google Cloud 對照手冊	Wildfire still burning across four miles as helicopter waterbombs Cairngorms
