id	label_genuine_1_coincidence_0	top_dist	margin	title	top3_books	lead
11931		0.8545	0.0039	'I couldn't leave the house, I worried I'd cheat': The rise of relationship OCD	The Rules of People: A Personal Code for Getting the Best from Everyone (0.760) | 藥物治療學案例集 (0.764) | 自私的藝術：快樂有理，自私無罪！ (0.771)	Image source, Sophia Image caption, Sophia describes the toll of having relationship OCD as "mental torture" ByElena Bailey Health reporter Published 16 July 2026, 01:34 BST Sophia, 24, has been in a loving relationship for more than a year
11923		0.8843	0.0024	Teen hackers who live streamed cyber-attack on TfL jailed	Web 開發者安全指南 (0.866) | 連結：從石器時代到AI紀元的資訊網路簡史 (0.869) | 程式設計人應該知道的97件事 (0.883)	To play this video you need to enable JavaScript in your browser. This video can not be played Figure caption, Watch: The moments the men are arrested for their role in the cyber-attack ByJoe Tidy Cyber correspondent, BBC World Service Publ
11837		0.8912	0.0012	Moroccan intelligence insider reveals widespread use of Pegasus hacking software	大開眼界：葛拉威爾的奇想 (0.873) | 連結：從石器時代到AI紀元的資訊網路簡史 (0.874) | 十種人性 (0.897)	The Israel-based NSO Group produces the Pegasus hacking software allegedly used to target French and Spanish politicians among others. Photograph: Amir Cohen/Reuters View image in fullscreen The Israel-based NSO Group produces the Pegasus h
11826		0.8955	0.0021	Meta pulls new AI image feature after days of backlash	機器學習系統設計面試 (0.843) | AI來了，你還不開始準備嗎？ (0.845) | 連結：從石器時代到AI紀元的資訊網路簡史 (0.846)	Image source, Meta Image caption, An AI-altered image generated using Muse Image ByKali Hays Technology reporter Published 11 July 2026 Meta has abruptly taken down a new feature that allowed people to use its artificial intelligence (AI) t
11798		0.9171	0.0313	US military to start screening for testosterone deficiency, Hegseth says	身體調校聖經 (0.784) | 古德曼與吉爾曼:治療學的藥理學基礎 (0.816) | 藥物治療學案例集 (0.855)	Image source, Getty Images BySareen Habeshian Published 15 July 2026 Updated 5 hours ago Defence Secretary Pete Hegseth has announced that military personnel aged 30 and older will undergo testing for testosterone deficiency as part of annu
12324		0.9213	0.0131	Burnham's 'Manchesterism' got him to No 10 - but will it work for the UK?	改變想法：改變自己與他人心智的藝術與科學 (0.859) | The Wealth of Humans (0.873) | 長勝心態 (0.882)	By Faisal Islam Economics editor It was just five months ago when Andy Burnham retreated to his mayor's office in Manchester, having been blocked by Labour's ruling executive from standing for parliament. When I met him there a few weeks la
11814		0.9256	0.0047	Cash-strapped Thames Water poses big test for Burnham	投資最重要的三個問題 (0.853) | 狂熱、恐慌與崩盤：金融危機史 (0.857) | 國家為什麼會破產: 橋水基金應對大週期的原則 (0.868)	Image source, Getty Images BySimon Jack, Business editor and Mitchell Labiak, Business reporter Published 15 July 2026 Thames Water is a major test for Andy Burnham and may help determine what the incoming prime minister's ambition to bring
11831		0.9285	0.0452	'Cool in 90 seconds' - the fake portable air conditioners sweeping the internet	工作大解放：讓工作動起來的真實力量 (0.808) | 故事經濟學 (0.853) | 不受限的人生 (0.860)	Image source, Proper DIY ByLaura Cress Technology reporter Published 10 July 2026 As parts of the UK brace for another hot weekend, online adverts have been appearing for portable air conditioners claiming to be "designed by former Nasa eng
11830		0.9325	0.0076	Big tech must deal with scam ads under Ofcom proposals	未來地圖 (0.845) | 專注力協定:在分心時代掌控注意力 (0.853) | 平靜你的心 (0.857)	Image source, Getty Images ByLiv McMahon Technology reporter Published 10 July 2026 Platforms like YouTube, Instagram and TikTok will need to take action to deal with scam adverts, under new proposals from Ofcom. The regulator has published
11836		0.9401	0.0327	Tech Life	專注力協定:在分心時代掌控注意力 (0.812) | Make Time: How to Focus on What Matters Every Day (0.845) | 零噪音 (0.848)	Close menu Use BBC.com or the new BBC App to listen to BBC podcasts, Radio 4 and the World Service outside the UK. Find out how to listen to other BBC stations Episode details World Service,·07 Jul 2026,·26 mins Too young to scroll? Tech Li
